transaction_id,transaction_timestamp,transaction_type,merchant_category,amount,transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,year,month,month_name,quarter,transaction_date
78,04-09-2024 20:34,P2P,Utilities,1415,SUCCESS,36-45,36-45,Tamil Nadu,ICICI,SBI,Android,4G,0,2024,9,September,Q3,04-09-2024
79,18-09-2024 07:14,P2M,Education,588,SUCCESS,26-35,36-45,Rajasthan,Yes Bank,Axis,Android,4G,0,2024,9,September,Q3,18-09-2024
80,08-11-2024 20:26,P2M,Utilities,8335,SUCCESS,46-55,46-55,West Bengal,Axis,IndusInd,Web,4G,0,2024,11,November,Q4,08-11-2024
81,20-10-2024 13:14,Bill Payment,Utilities,4279,SUCCESS,36-45,36-45,Uttar Pradesh,PNB,SBI,Android,5G,0,2024,10,October,Q4,20-10-2024
82,03-08-2024 13:15,P2M,Utilities,318,SUCCESS,36-45,18-25,Andhra Pradesh,PNB,Axis,Android,5G,0,2024,8,August,Q3,03-08-2024
83,03-01-2024 10:03,P2M,Shopping,1496,SUCCESS,46-55,36-45,Uttar Pradesh,PNB,Kotak,Android,4G,0,2024,1,January,Q1,03-01-2024
84,04-11-2024 18:06,P2P,Utilities,924,SUCCESS,18-25,36-45,Karnataka,ICICI,ICICI,Android,4G,0,2024,11,November,Q4,04-11-2024
85,30-04-2024 19:43,P2P,Food,291,SUCCESS,36-45,46-55,Maharashtra,HDFC,ICICI,Web,4G,0,2024,4,April,Q2,30-04-2024
86,02-09-2024 18:42,Bill Payment,Grocery,665,SUCCESS,36-45,46-55,Maharashtra,Kotak,HDFC,iOS,4G,0,2024,9,September,Q3,02-09-2024
87,20-01-2024 11:01,P2P,Fuel,669,SUCCESS,36-45,36-45,Delhi,SBI,ICICI,iOS,3G,0,2024,1,January,Q1,20-01-2024
88,27-09-2024 22:15,Recharge,Grocery,1855,SUCCESS,36-45,36-45,Tamil Nadu,IndusInd,ICICI,Android,4G,0,2024,9,September,Q3,27-09-2024
89,03-04-2024 12:09,P2M,Utilities,1015,SUCCESS,18-25,26-35,Uttar Pradesh,Axis,SBI,iOS,4G,0,2024,4,April,Q2,03-04-2024
90,01-08-2024 09:40,P2M,Other,188,SUCCESS,26-35,36-45,Gujarat,PNB,Kotak,Android,4G,0,2024,8,August,Q3,01-08-2024
91,14-07-2024 12:18,P2P,Other,1702,SUCCESS,26-35,18-25,Telangana,SBI,SBI,Android,4G,0,2024,7,July,Q3,14-07-2024
92,04-08-2024 10:24,Bill Payment,Food,1816,SUCCESS,18-25,18-25,Rajasthan,Kotak,SBI,Android,4G,0,2024,8,August,Q3,04-08-2024
93,19-05-2024 18:03,P2P,Other,712,SUCCESS,46-55,26-35,Gujarat,SBI,PNB,Android,5G,0,2024,5,May,Q2,19-05-2024
94,12-10-2024 20:55,P2M,Grocery,461,SUCCESS,26-35,18-25,Karnataka,SBI,IndusInd,Android,5G,0,2024,10,October,Q4,12-10-2024
95,22-01-2024 16:45,P2P,Transport,224,SUCCESS,26-35,18-25,Gujarat,Axis,SBI,Android,5G,0,2024,1,January,Q1,22-01-2024
96,23-03-2024 22:12,P2P,Shopping,2202,SUCCESS,36-45,46-55,West Bengal,Axis,SBI,Android,4G,0,2024,3,March,Q1,23-03-2024
97,19-02-2024 18:16,Bill Payment,Shopping,7821,SUCCESS,26-35,26-35,Rajasthan,Yes Bank,Kotak,Web,5G,0,2024,2,February,Q1,19-02-2024
98,14-04-2024 20:11,P2M,Shopping,2135,SUCCESS,18-25,26-35,Maharashtra,ICICI,HDFC,Android,4G,0,2024,4,April,Q2,14-04-2024
99,16-07-2024 12:59,P2P,Utilities,2776,SUCCESS,36-45,26-35,Telangana,IndusInd,SBI,Android,3G,0,2024,7,July,Q3,16-07-2024
100,24-10-2024 16:39,P2M,Grocery,543,SUCCESS,26-35,26-35,Karnataka,HDFC,Axis,Android,4G,0,2024,10,October,Q4,24-10-2024
101,09-12-2024 19:55,P2P,Food,215,SUCCESS,18-25,26-35,Karnataka,ICICI,Kotak,Android,4G,0,2024,12,December,Q4,09-12-2024
102,19-02-2024 18:16,P2M,Education,8754,SUCCESS,36-45,26-35,West Bengal,ICICI,PNB,Android,4G,0,2024,2,February,Q1,19-02-2024
103,25-08-2024 06:09,Bill Payment,Grocery,561,SUCCESS,26-35,26-35,Andhra Pradesh,ICICI,Axis,Android,4G,0,2024,8,August,Q3,25-08-2024
104,16-09-2024 18:23,P2P,Other,147,SUCCESS,26-35,36-45,West Bengal,SBI,ICICI,Android,4G,0,2024,9,September,Q3,16-09-2024
105,09-06-2024 20:44,Bill Payment,Other,661,SUCCESS,36-45,36-45,West Bengal,Yes Bank,Kotak,iOS,4G,0,2024,6,June,Q2,09-06-2024
106,29-07-2024 20:35,P2M,Shopping,7145,SUCCESS,18-25,46-55,West Bengal,PNB,Yes Bank,Android,WiFi,0,2024,7,July,Q3,29-07-2024
107,17-07-2024 10:07,P2P,Fuel,4468,SUCCESS,36-45,36-45,Gujarat,Kotak,Yes Bank,Android,5G,0,2024,7,July,Q3,17-07-2024
108,24-12-2024 11:08,Bill Payment,Utilities,2850,SUCCESS,26-35,36-45,Rajasthan,Kotak,ICICI,Android,WiFi,0,2024,12,December,Q4,24-12-2024
109,13-10-2024 20:29,P2M,Utilities,2142,SUCCESS,18-25,36-45,Rajasthan,ICICI,IndusInd,Android,4G,0,2024,10,October,Q4,13-10-2024
110,19-07-2024 11:30,Recharge,Food,61,SUCCESS,26-35,26-35,Maharashtra,PNB,SBI,Android,5G,0,2024,7,July,Q3,19-07-2024
111,16-04-2024 16:11,P2P,Food,1288,SUCCESS,36-45,46-55,Gujarat,SBI,ICICI,Android,4G,0,2024,4,April,Q2,16-04-2024
112,11-08-2024 19:39,P2P,Food,1014,SUCCESS,36-45,36-45,Delhi,IndusInd,PNB,Android,3G,0,2024,8,August,Q3,11-08-2024
113,05-02-2024 19:13,Bill Payment,Other,2474,SUCCESS,56+,46-55,Delhi,Axis,HDFC,Web,WiFi,0,2024,2,February,Q1,05-02-2024
114,25-11-2024 19:54,P2M,Healthcare,861,SUCCESS,56+,26-35,Rajasthan,Yes Bank,SBI,Android,5G,0,2024,11,November,Q4,25-11-2024
115,26-04-2024 20:45,P2P,Transport,507,SUCCESS,36-45,36-45,Andhra Pradesh,SBI,Axis,Android,5G,0,2024,4,April,Q2,26-04-2024
116,06-08-2024 13:16,P2M,Shopping,404,SUCCESS,18-25,46-55,Gujarat,ICICI,SBI,Android,4G,0,2024,8,August,Q3,06-08-2024
117,04-02-2024 17:37,P2M,Other,621,SUCCESS,36-45,18-25,Delhi,SBI,Yes Bank,iOS,WiFi,0,2024,2,February,Q1,04-02-2024
118,24-10-2024 09:26,Bill Payment,Fuel,1830,SUCCESS,18-25,18-25,Telangana,IndusInd,SBI,Android,4G,0,2024,10,October,Q4,24-10-2024
119,03-04-2024 13:21,P2M,Other,657,SUCCESS,26-35,26-35,Delhi,PNB,HDFC,iOS,4G,0,2024,4,April,Q2,03-04-2024
120,25-10-2024 11:34,P2P,Shopping,6804,SUCCESS,26-35,26-35,Karnataka,Yes Bank,SBI,Android,5G,0,2024,10,October,Q4,25-10-2024
121,20-03-2024 05:14,P2P,Utilities,261,SUCCESS,26-35,26-35,Gujarat,HDFC,SBI,Android,4G,0,2024,3,March,Q1,20-03-2024
122,20-01-2024 13:38,P2P,Entertainment,268,SUCCESS,26-35,26-35,Uttar Pradesh,HDFC,PNB,Android,WiFi,0,2024,1,January,Q1,20-01-2024
123,03-01-2024 14:46,P2P,Transport,1410,SUCCESS,26-35,18-25,Karnataka,SBI,Yes Bank,Android,4G,0,2024,1,January,Q1,03-01-2024
124,23-01-2024 11:47,P2P,Utilities,342,SUCCESS,26-35,26-35,Uttar Pradesh,Kotak,SBI,iOS,WiFi,0,2024,1,January,Q1,23-01-2024
125,09-04-2024 13:39,Bill Payment,Utilities,3941,SUCCESS,36-45,26-35,Telangana,HDFC,HDFC,iOS,4G,0,2024,4,April,Q2,09-04-2024
126,12-05-2024 11:54,P2M,Grocery,4073,SUCCESS,36-45,56+,Gujarat,Axis,Yes Bank,Android,WiFi,0,2024,5,May,Q2,12-05-2024
127,29-04-2024 15:05,P2M,Food,91,SUCCESS,56+,46-55,Telangana,Axis,SBI,Android,4G,0,2024,4,April,Q2,29-04-2024
128,14-09-2024 13:32,Bill Payment,Entertainment,209,SUCCESS,56+,46-55,Karnataka,HDFC,ICICI,Web,4G,0,2024,9,September,Q3,14-09-2024
129,09-03-2024 18:13,P2P,Transport,37,SUCCESS,26-35,26-35,Karnataka,HDFC,IndusInd,Android,5G,0,2024,3,March,Q1,09-03-2024
130,05-09-2024 11:42,P2P,Fuel,596,SUCCESS,26-35,18-25,Maharashtra,Axis,HDFC,Android,4G,0,2024,9,September,Q3,05-09-2024
131,10-10-2024 23:26,P2M,Transport,66,SUCCESS,36-45,36-45,Maharashtra,ICICI,PNB,iOS,4G,0,2024,10,October,Q4,10-10-2024
132,28-12-2024 10:47,Recharge,Food,225,SUCCESS,26-35,36-45,Maharashtra,ICICI,HDFC,Android,4G,0,2024,12,December,Q4,28-12-2024
133,05-04-2024 20:33,P2M,Entertainment,187,SUCCESS,26-35,18-25,Delhi,SBI,Axis,Android,4G,0,2024,4,April,Q2,05-04-2024
134,15-10-2024 19:38,P2P,Shopping,7155,SUCCESS,18-25,46-55,Tamil Nadu,ICICI,IndusInd,Android,4G,0,2024,10,October,Q4,15-10-2024
135,14-12-2024 19:24,Bill Payment,Shopping,5879,SUCCESS,18-25,18-25,Telangana,SBI,PNB,Android,5G,0,2024,12,December,Q4,14-12-2024
136,02-09-2024 20:42,P2P,Entertainment,561,SUCCESS,36-45,56+,Delhi,SBI,Yes Bank,Android,WiFi,0,2024,9,September,Q3,02-09-2024
137,02-12-2024 13:26,Bill Payment,Utilities,6011,SUCCESS,36-45,18-25,Maharashtra,SBI,Yes Bank,Android,4G,0,2024,12,December,Q4,02-12-2024
138,15-08-2024 07:34,P2P,Entertainment,223,SUCCESS,26-35,26-35,Telangana,SBI,SBI,Android,5G,0,2024,8,August,Q3,15-08-2024
139,07-11-2024 15:35,Bill Payment,Fuel,4864,SUCCESS,46-55,36-45,Maharashtra,Kotak,SBI,iOS,WiFi,0,2024,11,November,Q4,07-11-2024
140,04-09-2024 16:28,P2M,Food,2350,SUCCESS,26-35,26-35,Delhi,SBI,IndusInd,Android,5G,0,2024,9,September,Q3,04-09-2024
141,09-04-2024 14:17,P2M,Utilities,284,SUCCESS,26-35,26-35,Telangana,SBI,Kotak,Android,4G,0,2024,4,April,Q2,09-04-2024
142,22-06-2024 23:08,P2P,Shopping,1174,SUCCESS,36-45,46-55,West Bengal,IndusInd,HDFC,Android,4G,0,2024,6,June,Q2,22-06-2024
143,15-08-2024 19:38,P2P,Shopping,1773,SUCCESS,46-55,36-45,Maharashtra,IndusInd,ICICI,Android,4G,0,2024,8,August,Q3,15-08-2024
144,07-01-2024 09:55,P2P,Grocery,2839,SUCCESS,26-35,26-35,Uttar Pradesh,HDFC,SBI,iOS,4G,0,2024,1,January,Q1,07-01-2024
145,13-06-2024 08:59,P2P,Shopping,3757,SUCCESS,46-55,26-35,Uttar Pradesh,SBI,SBI,Android,4G,0,2024,6,June,Q2,13-06-2024
146,14-10-2024 12:46,P2P,Grocery,599,SUCCESS,46-55,26-35,Uttar Pradesh,ICICI,ICICI,Android,4G,0,2024,10,October,Q4,14-10-2024
147,18-02-2024 16:12,P2P,Healthcare,720,SUCCESS,26-35,18-25,Gujarat,PNB,ICICI,iOS,4G,0,2024,2,February,Q1,18-02-2024
148,05-05-2024 12:38,P2M,Food,646,SUCCESS,26-35,36-45,Rajasthan,IndusInd,SBI,Android,5G,0,2024,5,May,Q2,05-05-2024
149,06-06-2024 19:51,P2M,Food,211,SUCCESS,26-35,18-25,Delhi,SBI,SBI,iOS,4G,0,2024,6,June,Q2,06-06-2024
150,19-08-2024 17:33,P2P,Transport,58,SUCCESS,36-45,46-55,Rajasthan,IndusInd,PNB,Android,5G,0,2024,8,August,Q3,19-08-2024
151,17-05-2024 17:03,P2P,Food,377,SUCCESS,36-45,46-55,Maharashtra,ICICI,SBI,iOS,5G,0,2024,5,May,Q2,17-05-2024
152,08-03-2024 21:15,Recharge,Transport,1072,SUCCESS,36-45,18-25,Maharashtra,Axis,HDFC,Android,5G,0,2024,3,March,Q1,08-03-2024
153,05-02-2024 08:16,P2M,Transport,16,FAILED,26-35,26-35,Uttar Pradesh,PNB,PNB,Android,WiFi,0,2024,2,February,Q1,05-02-2024
154,13-11-2024 17:30,P2P,Food,1753,SUCCESS,26-35,18-25,Karnataka,PNB,Axis,Android,WiFi,0,2024,11,November,Q4,13-11-2024
155,21-12-2024 10:58,P2P,Grocery,345,SUCCESS,18-25,26-35,West Bengal,ICICI,SBI,iOS,4G,0,2024,12,December,Q4,21-12-2024
156,22-02-2024 11:42,P2M,Grocery,174,SUCCESS,18-25,36-45,Uttar Pradesh,HDFC,SBI,Android,4G,0,2024,2,February,Q1,22-02-2024
157,01-11-2024 12:59,P2P,Entertainment,69,SUCCESS,26-35,26-35,Uttar Pradesh,SBI,PNB,Android,4G,0,2024,11,November,Q4,01-11-2024
158,09-05-2024 16:22,P2M,Grocery,301,SUCCESS,36-45,18-25,Telangana,SBI,ICICI,Android,4G,0,2024,5,May,Q2,09-05-2024
159,02-06-2024 22:38,Recharge,Utilities,3091,SUCCESS,26-35,18-25,Maharashtra,ICICI,IndusInd,Android,4G,0,2024,6,June,Q2,02-06-2024
160,16-02-2024 18:51,Bill Payment,Shopping,9619,SUCCESS,18-25,18-25,Maharashtra,SBI,IndusInd,Android,4G,0,2024,2,February,Q1,16-02-2024
161,13-09-2024 12:17,P2P,Entertainment,727,SUCCESS,36-45,26-35,Gujarat,Yes Bank,Yes Bank,iOS,4G,0,2024,9,September,Q3,13-09-2024
162,12-10-2024 17:50,P2M,Fuel,375,SUCCESS,56+,26-35,Rajasthan,HDFC,Axis,Android,4G,0,2024,10,October,Q4,12-10-2024
163,29-12-2024 15:13,P2M,Grocery,700,SUCCESS,36-45,36-45,Maharashtra,Kotak,Yes Bank,Android,5G,0,2024,12,December,Q4,29-12-2024
164,19-05-2024 17:12,Bill Payment,Shopping,2289,SUCCESS,18-25,18-25,Andhra Pradesh,Kotak,Kotak,Android,5G,0,2024,5,May,Q2,19-05-2024
165,14-12-2024 17:48,P2P,Fuel,797,SUCCESS,26-35,36-45,Tamil Nadu,SBI,SBI,Web,5G,0,2024,12,December,Q4,14-12-2024
166,29-10-2024 04:05,P2P,Shopping,9228,SUCCESS,18-25,18-25,West Bengal,SBI,Yes Bank,Android,WiFi,0,2024,10,October,Q4,29-10-2024
167,13-02-2024 16:30,P2P,Other,1553,SUCCESS,26-35,18-25,Karnataka,PNB,SBI,Android,3G,0,2024,2,February,Q1,13-02-2024
